貼文內容,情緒分數
去年此刻，我在感受整个世界的热闹，人群与我无关，欢笑也是，阴霾笼罩了我一年，整整一年啊，这一年我经历了十八年来最大的风浪，我好似成长了。终于挺过了风雨，以为可以看见未来的希望。可世事难料，武汉的肺炎，去世的人与他们的家人，人们好似在经历去年我所历经的事，我懂，看了那么多武汉人民的 ...全文,0.9999999999999984
我真的是一个眼窝子比较浅的人，很容易被感动，这些天每次看到有关武汉的视频眼泪都是吧嗒吧嗒的留下来，最让我感动的就是那些医护人员不怕艰苦的向前以及老人将自己的积蓄拿出来援助武汉时的场景。我想中华民族能存在五千多年，就是因为在危机时刻中华儿女都是一条心，齐心协力面对难关，我相信这场 ...全文,0.9999999990670607
澳洲大火，中国疫情，东非蝗灾，开始想起来流浪地球的台词，“最初，没有人在意这场灾难，这不过是一场山火，一次旱灾，一个物种的灭绝，一座城市的消失。直到这场灾难和每个人息息相关。”千万别等真正的末日来临之后，我们才意识到，曾经我们明明有机会拯救自己。  #武汉肺炎# 今年 ...全文,0.9999999976105078
【我家这位亲戚，面对新冠肺炎，信写得朴素而真实】我家这位亲戚，面对新冠肺炎，信写得朴素而真实我仿佛又听见了你和我恋爱时经常诵读的希波克拉底誓言：我一定把病人的健康和生命放在一切的首位，我一定要保持医生职业的荣誉和高尚的传统，我出自内心以荣誉保证履行以上诺言。#万众一心抗击新冠肺炎# #武汉肺炎#  ...全文,0.9999999777908752
谁说疫病没有特效药？中医辨证论治就是特效药。我们都是中国人，近代西医的一统天下让我们的现代人已经太久太久没有关注过中医，而绝大多数人连我们的祖先张仲景医圣是谁都不知道，更别说什么《黄帝内经》《伤寒论》写的什么内容了。  只有我们用经方平息了疫情，才会知道中医才是真正能治病的医学， ...全文,0.999999975526125
愿你三冬暖 愿你春不寒愿你天黑有灯 下雨有伞愿你路上有良人相伴愿你所有快乐无需假装愿你此生尽兴 赤诚善良愿时光能缓 愿故人不散愿有人陪你颠沛流离愿你惦念的人能和你道早安愿你独闯的日子里不觉得孤单愿有人陪你立黄昏 有人问你粥可温愿你出走半生 归来不得肺炎#武汉肺炎##平安##感恩# ,0.9999999614234426
鼠年初十一，玉泉山脚下的玉东园，前几年新建的公园，是北坞村整体拆迁后重新规划的公园，是当年皇家水稻的种植基地，京西稻，建成公园后依然还保留一部分稻田，很好的和公园景观结合在一起。新建园，人很少，保安要求游人依然要戴口罩活动，真不容易，这个特别的春节，大家都尽力了，为了自己也为了他 ...全文,0.9999999390183615
中国人警醒吧！别忘了我们的祖先张仲景早已经为这次传染性肺炎写下了唯一经方：大青龙汤！为什么我们要去研究细菌呢？坚决抑制中国疫病患者为美国新药瑞德西韦做III期临床试验！ 美国新药瑞德西韦（Remdesivir）妄图借中国爆发新型冠状病毒感染的肺炎疫情的机会来做他们的III期临床试验。这根本就是 ...全文,0.9999999336705587
在昨日股市大跌的大趋势下，有一类股票却逆市上扬，那就是医药类股票。在如今这样的大环境下，我们估计受疫情影响，股市后续仍会有一段低迷时期，希望大家谨慎投资。#武汉肺炎##疫情仍处于扩散阶段##最新疫情地图# ,0.9999995026722794
18年3️⃣🅰️Ⓜ️香港秀 表演主题———演变现在回想起来 希望所有不好全部演变成美好 [爱心]愿再无疾病 所有家庭幸福安康 一起努力坚持下去就是最快最好的演变✔️武汉加油❤️#武汉加油# 武汉你这个小孩子一定要快点好起来，全世界都看着你呢！！！#武汉肺炎##武汉##抗击新型肺炎第一线# ,0.9999991743451033
愿武后，春暖花开#武汉肺炎##书画新浪潮# @微博国画 @微博书法 画家王恒的微博视频 ,0.9999881837489302
